id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source,created_at,user_geom
17702,Angela,Cole,angelacole@example.com,50,F,Acre,2844 Jenkins Heights Suite 915,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2022-11-05 01:54:00.000000 UTC,POINT(-72.87094866 -8.065346116)
12173,Jennifer,Butler,jenniferbutler@example.net,53,F,Acre,89275 Anderson Dam,69980-000,null,Brasil,-8.065346116,-72.87094866,Display,2019-02-26 00:37:00.000000 UTC,POINT(-72.87094866 -8.065346116)
43755,Abigail,Yang,abigailyang@example.com,56,F,Acre,35501 Jones Path,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2021-09-01 13:25:00.000000 UTC,POINT(-72.87094866 -8.065346116)
3325,Adam,Charles,adamcharles@example.com,16,M,Acre,81058 Ward Lake,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2019-11-30 04:09:00.000000 UTC,POINT(-72.87094866 -8.065346116)
86223,Gerald,Wade,geraldwade@example.org,60,M,Acre,3644 Scott Island,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2023-08-05 05:20:00.000000 UTC,POINT(-72.87094866 -8.065346116)
11881,Cynthia,Allen,cynthiaallen@example.org,34,F,Acre,5667 Bell Loop,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2019-04-09 13:22:00.000000 UTC,POINT(-72.87094866 -8.065346116)
33095,Hunter,Hughes,hunterhughes@example.com,23,M,Acre,41761 Roger Center Suite 204,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2020-06-29 15:08:00.000000 UTC,POINT(-72.87094866 -8.065346116)
73371,Sarah,Pennington,sarahpennington@example.com,24,F,Acre,790 Jones Brooks,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2022-11-24 08:27:00.000000 UTC,POINT(-72.87094866 -8.065346116)
20698,Sandra,Morales,sandramorales@example.com,59,F,Acre,3925 Dominique Street,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2020-12-01 13:40:00.000000 UTC,POINT(-72.87094866 -8.065346116)
71433,Andrew,Harper,andrewharper@example.net,36,M,Acre,711 Kevin Locks,69980-000,null,Brasil,-8.065346116,-72.87094866,Facebook,2019-10-13 06:19:00.000000 UTC,POINT(-72.87094866 -8.065346116)
72394,Gregory,Peterson,gregorypeterson@example.org,47,M,Acre,893 Adams Plain,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2021-12-25 09:53:00.000000 UTC,POINT(-71.55302951 -8.325245103)
30202,Kelly,Martinez,kellymartinez@example.org,12,F,Acre,4637 Smith Cliff,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Facebook,2023-12-02 00:29:00.000000 UTC,POINT(-71.55302951 -8.325245103)
36531,Ryan,Elliott,ryanelliott@example.net,49,M,Acre,5127 Smith Meadow,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Display,2025-01-23 09:17:00.000000 UTC,POINT(-71.55302951 -8.325245103)
80555,Christina,Williams,christinawilliams@example.net,32,F,Acre,644 Ashley Valley,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2024-06-30 00:10:00.000000 UTC,POINT(-71.55302951 -8.325245103)
64544,Matthew,Walter,matthewwalter@example.net,59,M,Acre,920 Antonio Springs,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2019-01-06 03:57:00.000000 UTC,POINT(-71.55302951 -8.325245103)
21755,Melissa,Walker,melissawalker@example.com,24,F,Acre,880 Arthur Unions Apt. 191,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2024-10-14 10:40:00.000000 UTC,POINT(-71.55302951 -8.325245103)
55667,Michelle,Mcconnell,michellemcconnell@example.org,33,F,Acre,51382 Butler Run Apt. 658,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2023-12-30 02:04:00.000000 UTC,POINT(-71.55302951 -8.325245103)
3643,James,Mora,jamesmora@example.com,41,M,Acre,05288 Robert Curve Apt. 335,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Organic,2024-10-28 14:15:00.000000 UTC,POINT(-71.55302951 -8.325245103)
53526,Darren,Davis,darrendavis@example.com,41,M,Acre,335 Li Ridge Suite 562,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2020-08-16 00:13:00.000000 UTC,POINT(-71.55302951 -8.325245103)
81112,Katelyn,Smith,katelynsmith@example.net,65,F,Acre,746 Martinez Isle Suite 761,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Email,2025-06-10 16:10:00.000000 UTC,POINT(-69.4370574 -9.857324143)
